"name";"age";"author";"text";"reyt"
"Люси";"35";"Анонимный Дон";"Ты прекрасна, а цена реальная?";"5"
"Юля";"18";"Анонимный Дон";"Харашо";"5"
"Юля";"18";"Анонимный Дон";"Американская порно модель...видать совсем дела плохи в сша,в москву приехала на заработки!!!🤣";"2"
"Даша";"18";"Анонимный Дон";"На телефон отвечают разные дамы.";"1"
"Лера";"25";"Анонимный Дон";"Неебалово, диспетчер,квартира 2 женщины бальзаковского возраста и узбеки на кухне";"1"
"Лера";"25";"Анонимный Дон";"Привет, работаешь?";"5"
"Мия";"23";"Анонимный Дон";"Лисичка с прекрасным телом! Обожаючки экзотику...блин от нее и пахнет какими то пряностями,толи дурь то ли духи....на члене вытваряет такое!!!! как гимнастка на шесте....приятный обжим головки со всех сторон.....грамотно и профессионально.....яркие ощущения и качественный импульс....супер!";"5"
"Лида";"40";"Анонимный Дон";"Фото ваши? Салон или инди?";"1"
"Insarrria";"24";"Анонимный Дон";"Мошенники";"1"
"Гульмира";"22";"Анонимный Дон";"Отдыхал с ней в салоне на универе. Все на высшем уровне.";"5"
"Алина";"25";"Анонимный Дон";"Привет кроха";"5"
"Алина";"25";"Анонимный Дон";"У нее только класика, хоть свои деньги вполне стоит";"4"
"Марина";"22";"Анонимный Дон";"Если вы хотите получить самую незабываемую ночь в жизни, словить сотню оргазмов, насладиться горячей девочкой. Я никогда так не трахался! Отсос королевский, круче не придумаешь";"5"
"Алёна";"27";"Анонимный Дон";"Привет, завтра работаешь?";"5"
"Слава";"22";"Анонимный Дон";"Красиво двигается! Легкий танец под красивую музыку заводит! Особенно когда под празрачным пиниуром нету ничего! Полностью выбрита,мягинькая!Лоская губы в низу не отплевываешься от волос! и это приятно! Помогает тебе подмахивает в такт языку,для знатаков штучка!";"5"
"Наталья";"26";"Анонимный Дон";"Фото порно модели из сети";"1"
"Вика";"26";"Анонимный Дон";"Это не зад а просто БОМБА! Встала раком…я чуть не взорвался прямо в штанах….респект!<br />";"5"
"Вика";"26";"Анонимный Дон";"Свободна ?";"5"
"Кристина";"24";"Анонимный Дон";"🔥😍💋🤗";"5"
"Алиса";"26";"Анонимный Дон";"Очень обоятельная чувиха! Хорошее писать про блядей ну совсем в лом! Но эта сосет как богиня! Нежно,приятно и хочется такое ощущать вечно!";"5"
"Людмила";"22";"Анонимный Дон";"Привет";"5"
"Людмила";"22";"Анонимный Дон";"Привет как насчёт пару часиков убить";"5"
"Людмила";"22";"Анонимный Дон";"Фото твои?";"5"
"Людмила";"22";"Анонимный Дон";"Хочу и даже очень, но мне 70. Отвеиш?";"5"
"Людмила";"22";"Анонимный Дон";"Привет, увидимся ?";"5"
"Эрика";"27";"Анонимный Дон";"Привет.Какой адрес у тебя? Еду к тебе";"4"
"Эрика";"27";"Анонимный Дон";"Куда прийти то?";"5"
"Маша";"36";"Анонимный Дон";"Салон, но в целом понравилось, по допам сразу лучше уточнить, как и по цене. Не очень понимаю, почему в анкете обновляется только дата.";"4"
"Маша";"36";"Анонимный Дон";"Есть такая дама как на фото?";"1"
"Карина";"23";"Анонимный Дон";"Не рекомендует кидает";"1"
"Карина";"23";"Анонимный Дон";"Салон и кидалово не рекомендую.";"1"
"Карина";"23";"Анонимный Дон";"Хотел про тестить оказалось салон и ещё кинули зря время потратил.";"1"
"Лера";"21";"Анонимный Дон";"Салон";"2"
"Нейля";"22";"Анонимный Дон";"Привет ты работаешь";"5"
"Света";"21";"Анонимный Дон";"Хуесосочка отменная! Грамотно сосет …думал высосет все прямо с мозгами!!!<br />";"5"
"Натали";"27";"Анонимный Дон";"Супер)";"5"
"Виктория";"30";"Анонимный Дон";"Фото ваши? Салон или инди?";"1"
"Яна";"28";"Анонимный Дон";"Здравствуй) Хочу тебя!))) Принимаешь к себе?";"3"
"Яна";"28";"Анонимный Дон";"Привет, еще работаешь? Актуально?)";"3"
"Яна";"28";"Анонимный Дон";"привет,еще актуально?фото реальные?";"4"
"Яна";"28";"Анонимный Дон";"Привет,работаешь? По кэшу как в анкете<br />
Фото твои?<br />
По услугам всё также?";"5"
"Яна";"28";"Анонимный Дон";"Работаешь?";"4"
"Светик";"22";"Анонимный Дон";"Хочу в гости заехать <br />
Звоню не берет никто";"5"
"Малена";"21";"Анонимный Дон";"Несуществующая девушка , развели на бабки !";"1"
"Катя";"22";"Анонимный Дон";"Шустрая малышка! Попросите её надеть банты,лутше два! Не пожалеете кто в теме!Отсос в позе 69 это что то! Вид открывается замечательный!И вкусный.Для гурманов.";"5"
"Кaтюшa";"23";"Анонимный Дон";"Вот эта детка";"5"
"Марьяна";"24";"Анонимный Дон";"Мясистая печалька! Свое дело знает четко! Дрочит руками сиськами ногами! Как младенец играет с членом словно с любимой игрушкой!Сажать ее на себя не рискнул а вот с зади отпердолил,даже заплакала.....от экстаза,во пля насмотришься! Плачет значит удовлетворена......";"4"
"Маша";"27";"Анонимный Дон";"Работаешь?Фото твои?";"5"
"Маша";"27";"Анонимный Дон";"Привет сладкая. Как на счёт выходных? <br />
Позвоню...?";"5"
"Маша";"27";"Анонимный Дон";"Привет. Когда можем встретиться?";"4"
"Маша";"27";"Анонимный Дон";"Пиши, приеду";"5"
"Маша";"27";"Анонимный Дон";"Актуальная анкета?";"5"
"Вместе";"25";"Анонимный Дон";"Красивые девочки,однозначно лайк,отлично провел с ними время,секс супер!";"5"
"Аннушка";"21";"Анонимный Дон";"Не знаю что там на счёт беседы в профиле написано, но работу делает отлично";"5"
"Адиля";"28";"Анонимный Дон";"Драл кто?";"5"
"Адиля";"28";"Анонимный Дон";"Работаешь? Как попасть?";"3"
"Адиля";"28";"Анонимный Дон";"сегодня работаешь";"5"
"Адиля";"28";"Анонимный Дон";"Сисяндры мое почтение";"5"
"Айсель";"23";"Анонимный Дон";"Кыргыз болуп туруп иштегенин уят!";"1"
"Айсель";"23";"Анонимный Дон";"Жакшы ! пастел-жылы";"5"
"Айсель";"23";"Анонимный Дон";"Ар кайсыл улуттун наркаманына бере бербей жигит таап эле жашасан жакшы болмок уят ото эле 🤗🤦‍♂️";"1"
"Айсель";"23";"Анонимный Дон";"А отзывы можно писать на русском не все ваш язык понимают.";"5"
"Мила";"23";"Анонимный Дон";"Привет крошка";"5"
"Олеся";"26";"Анонимный Дон";"Серьезно час 250 руб?<br />";"5"
"Диана";"27";"Анонимный Дон";"Подозрительная особа. Принимает в районе метро Щелковская. Примерно в 1 километре от метро. Договорился о встрече. Сначала назвали один адрес, но когда я подъехал попросили подойти к другому дому (неподалеку). Когда подошел, снова позвонил. Девушка попросила встать под окно, чтобы она могла меня рассмотреть. Неподалеку стоял какой-то подозрительный тип. Далее я не пошел, потому что мне показалось все это странным.";"1"
"Диана";"27";"Анонимный Дон";"Не ходите туда, одни ебанашки мошенники";"1"
"Танюшка";"27";"Анонимный Дон";"Фото не ее грубая и пьяная";"1"
"Алеся";"23";"Анонимный Дон";"Привет работаешь ? Можно ватсап или телеграмм!";"5"
"Лиля";"19";"Анонимный Дон";"Фейк ее там нет";"1"
"Олечка";"26";"Анонимный Дон";"Не рекомендую";"1"
"Олечка";"26";"Анонимный Дон";"Анкета активна";"5"
"Лера";"25";"Анонимный Дон";"Просто параша а не девушка";"1"
"Лера";"25";"Анонимный Дон";"Полный пездеж. Цена не соответствует.";"1"
"Катя";"20";"Анонимный Дон";"Добрый день, когда можно встретиться?";"5"
"Соня";"23";"Анонимный Дон";"Привет свободна?";"5"
"Соня";"23";"Анонимный Дон";"Привет крошка)";"4"
"Лекса";"20";"Анонимный Дон";"Чудесная девушка, очень общительная и позитивная. В процессе во всем старается угодить. Редкое сочетание красоты и ума";"5"
"Тамара";"30";"Анонимный Дон";"Alena Sirale на фото";"5"
"Танюша";"19";"Анонимный Дон";"Мужское Женское... Привет! 😃";"5"
"Танюша";"19";"Анонимный Дон";"Мужское Женское... Привет!";"5"
"Рита";"23";"Анонимный Дон";"Фейк?";"4"
"ШАКИРА";"20";"Анонимный Дон";"Как вы сегодня работаете";"1"
"ШАКИРА";"20";"Анонимный Дон";"Приветик ангелочек напиши мне в личку в телеграмм @Xzxzx88";"5"
"ШАКИРА";"20";"Анонимный Дон";"Какой муми-тролль просит написать в личку достал пургу писать озабоченный";"5"
"Anna";"34";"Анонимный Дон";"Привет,если фото реально твои готов заскочить познакомиться))";"5"
"Anna";"34";"Анонимный Дон";"реальная?";"3"
"Вероника";"34";"Анонимный Дон";"Очаровательная";"4"
"Арина";"22";"Анонимный Дон";"Был кто?";"5"
