"name";"age";"author";"text";"reyt"
"Марго";"28";"Анонимный Дон";"Можно ебать за доп. При симпатии, конечно. Хороша в сексе.";"5"
"Геля";"23";"Анонимный Дон";"Привет красавица работаешь";"5"
"Лика";"20";"Анонимный Дон";"милая девочка,встречает очень эффектно.<br />
все понравилось ,фото настоящие";"5"
"Лика";"20";"Анонимный Дон";"Очень рекомендую девушку! Уровень сервиса потрясающей! Кроме того, очень хорошо делает минет, как-то по-особенному что-ли. Однозначно, одна из лучших девушек Москвы";"5"
"Лика";"20";"Анонимный Дон";"Немного стеснительная и скованная, но зато не капризничает и слушается. Приятное тело, хорошая кожа, грудь чувствительная, обхват плотный. Всё добротно";"5"
"Лика";"20";"Анонимный Дон";"Привет, работаешь";"4"
"Лика";"20";"Анонимный Дон";"Не соответствует фото";"1"
"Лика";"20";"Анонимный Дон";"Был сегодня, девочка Лия просто королева<br />
И в карты выиграет и доставит космический оргазм)<br />
Приеду еще Красотка)";"5"
"Лика";"20";"Анонимный Дон";"Вы работаете?<br />";"2"
"Катрин";"19";"Анонимный Дон";"Салон,нет такой девочки там!не ведитесь.";"1"
"Женя";"19";"Анонимный Дон";"Супер хороша!";"5"
"Женя";"19";"Анонимный Дон";"Работаешь";"5"
"Лена";"18";"Анонимный Дон";"Красивая, миниатюрная девушка, принимает в шикарных апартаментах. Выглядит как на фото. В процессе исполнительна и активна. Спасибо милая";"5"
"Лена";"18";"Анонимный Дон";"хороший качественный отдых,заводит с пол оборота,такая умничка ,просто прекрасна";"5"
"Лена";"18";"Анонимный Дон";"Был недавно у девушки. Встречает в уютной квартире в удобном месте. Фотографиям соответствует, в жизни выглядит очень привлекательно. В процессе послушная, но инициативу тоже может проявить. Остался доволен";"5"
"Лена";"18";"Анонимный Дон";"Ламповая девочка. Приехала в строгом черном коротеньком платье, что только умножало её красоту и желание поскорее его снять) Процесс 5 из 5, ты супер";"5"
"Лена";"18";"Анонимный Дон";"Очень приятная девочка ;) Красивая, располагает к себе :)";"5"
"Лена";"18";"Анонимный Дон";"Внешность и отношение на высшем уровне, ласковая и страстная! Действительно учитывает все предпочтения и исполняет их, хороший сервис! Рекомендую, вернусь еще";"5"
"Лена";"18";"Анонимный Дон";"Почему телефон выключаешь? Не поднимаешь";"3"
"Лена";"18";"Анонимный Дон";"Still to try";"5"
"Варя";"19";"Анонимный Дон";"за такую цену и такую малышку,грудь оху?!%а,приду еще раз однозначно!";"5"
"Варя";"19";"Анонимный Дон";"Приглашал в гостиницу. Приятная практически во всех отношениях девушка";"5"
"Варя";"19";"Анонимный Дон";"хорошая малышка,тащит ого-го";"5"
"Варя";"19";"Анонимный Дон";"Девушка очень понравилась, приятная в общении и активная в постели. Отлично провёл с ней время, думаю повторить";"5"
"Варя";"19";"Анонимный Дон";"Девочка классная! Очень рад, что познакомился с ней, встреча прошла на высшем уровне. По процессу все понравилось: старательный минет и зажигательная классика. Я доволен";"5"
"Варя";"19";"Анонимный Дон";"Привет. Сегодня работаешь?";"5"
"Варя";"19";"Анонимный Дон";"Работаешь ещё?";"5"
"Элис";"18";"Анонимный Дон";"Привет анкета активна";"5"
"Елена";"27";"Анонимный Дон";"Я хочу чтобы ты была моеей мамой";"5"
"Аня";"20";"Анонимный Дон";"😍🔥💋🤗🤤😋";"5"
"Таня";"21";"Анонимный Дон";"Попа у тебя классная!";"5"
"Таня";"21";"Анонимный Дон";"збс";"5"
"Таня";"21";"Анонимный Дон";"Она великолепна 👍";"5"
"Доминика";"19";"Анонимный Дон";"Красивая. Кто-нибудь был? Напишите хоть пару слов";"5"
"Доминика";"19";"Анонимный Дон";"Не она там";"1"
"Доминика";"19";"Анонимный Дон";"Кто то был у неё ребята Кто был отпишитесь";"5"
"Доминика";"19";"Анонимный Дон";"Был там салон такой там не было предлогали другую,отказался и ушел,может на тот момент не было.";"1"
"Доминика";"19";"Анонимный Дон";"Она не существует зря не ищите её";"1"
"Айза";"20";"Анонимный Дон";"Привет на ночь со всеми допами приедешь?";"5"
"Айза";"20";"Анонимный Дон";"Нет такой,салон гадюшник";"1"
"Лена";"23";"Анонимный Дон";"шикарна";"5"
"Руслана";"28";"Анонимный Дон";"интересная. кто был, как вам?";"5"
"Мадина";"19";"Анонимный Дон";"Привет красавица анкета активна";"5"
"Лина";"20";"Анонимный Дон";"Что входит в стоимость?";"5"
"Полина";"23";"Анонимный Дон";"Цены каждый раз разные, уточняйте сразу";"1"
"Мария";"24";"Анонимный Дон";"Мария, вы так похожи на Ксению Кондратьеву (Anjelica) в 2000-10х годах, и  фото у неё точно такое же есть!)";"5"
"Лора,Катя";"22";"Анонимный Дон";"Цена сразу за двух?";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"цена за одну? салон?";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Тоже интересно: цене за одну?";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Ты выбираешь одну или все сразу?";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"я тут с вами постою может нам ответят ))";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Цена за одну, все сразу на час 18000 😀";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"А вас можно сразу всех троих взять?";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Привет а вас можно сразу всех троих взять за ночь ночь";"5"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Похоже это просто фейк! Видно салон забросил анкету!";"1"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Пиздежь";"1"
"Анжела Таня Ксюша";"20";"Анонимный Дон";"Ещё актуально?";"5"
"Марго";"35";"Анонимный Дон";"Всё супер особенно МБР спасибо Маргоша за вечер";"5"
"НАДЯ";"29";"Анонимный Дон";"Привет, ты в Королёве или Москве?";"5"
"НАДЯ";"29";"Анонимный Дон";"Так 2000 или 2500 за час?";"5"
"НАДЯ";"29";"Анонимный Дон";"Добрый день ты одна работаешь или салон";"5"
"НАДЯ";"29";"Анонимный Дон";"Привет а вы работаете";"5"
"НАДЯ";"29";"Анонимный Дон";"Наденька привет, ты одна работаешь? И есть у тебя анальчик?";"5"
"НАДЯ";"29";"Анонимный Дон";"Добрый вечер  Надя";"5"
"НАДЯ";"29";"Анонимный Дон";"Добрый вечер  а ты работаешь";"5"
"НАДЯ";"29";"Анонимный Дон";"Работете? Сейчас встретимся?";"5"
"НАДЯ";"29";"Анонимный Дон";"Доброй ночи. А ты целуешся во время секса?";"5"
"Алиса";"25";"Анонимный Дон";"Этой девушки там нет пришёл по адресу а там одна старушка и одна стрёмная баба комната раздели на простынёй";"1"
"Алиса";"25";"Анонимный Дон";"Наверное конкуренты пишут";"5"
"Алиса";"25";"Анонимный Дон";"Привет. В гости пригласишь?";"5"
"Алия";"24";"Анонимный Дон";"Для любителей экзотики ! Азиатский темперамент, я чел впечатлительный люблю кино! Она словно боец якудзы,прикольная с очень сильными ногами,обхватывает тебя крепко во время соития! И эти раскосые глазки!!!!! очень возбуждает!";"5"
"Наташа";"27";"Анонимный Дон";"Привет, еще работаешь? Актуально?)";"3"
"Наташа";"27";"Анонимный Дон";"нет такой";"1"
"Анора";"31";"Анонимный Дон";"Вранье! Нет такой";"1"
"Анора";"31";"Анонимный Дон";"Нет в этой клоаке такой. Нас обманывают.";"1"
"Анора";"31";"Анонимный Дон";"Что за монстр э";"1"
"Анора";"31";"Анонимный Дон";"Обман";"1"
"Янa";"23";"Анонимный Дон";"Цена даже неправилный услуга даже нету такой всем мошенничества";"1"
"Янa";"23";"Анонимный Дон";"знаменитая актриса Li Moon это)) идиоты";"1"
"Дaрья";"20";"Анонимный Дон";"О эта грудь...молодая!!!стоит как мой член в возбуждении,обожаю сиськи сосать гладить сжимать!Сжимать с переди,обняв с зади! То слабо то сильно,взависимости от реакции бабцы.....Так и словил оргазм сжав грудь а она мой член.....был в восторге....";"5"
"Адель";"20";"Анонимный Дон";"супер девочка, как родная, всё очень, очень понравилось, обязательно вернусь";"5"
"Адель";"20";"Анонимный Дон";"Не умеет девочка доставить удовольствие миньет на единицу секс просто лежит  не советую тратить время на неё.";"1"
"Адель";"20";"Анонимный Дон";"Не знаю к чему такой отзыв от старого деда, как по мне, секс огонь, сосет на 4, приятная фигура";"5"
"Мелания";"24";"Анонимный Дон";"Красотка ты мне понравилась очень";"5"
"Вероника";"22";"Анонимный Дон";"На фотке не она";"1"
"Катюша";"21";"Анонимный Дон";"Салон. Не рекомендую";"1"
"Бьянка";"30";"Анонимный Дон";"Был кто ?";"5"
"Татьяна";"23";"Анонимный Дон";"Привет, еще работаешь? Актуально?)";"3"
"Марина";"23";"Анонимный Дон";"Очень крутая девушка. Максимально клиентоориентированная. Красивая спортивная фигура, классная попа и упругая грудь. Вежливая и общительная. Поза раком - топ. Всем рекомендую";"5"
"Лера";"21";"Анонимный Дон";"Привет, Лера<br />";"5"
"Жанна";"27";"Анонимный Дон";"Мошенники они , не верьте им";"2"
"Даша";"29";"Анонимный Дон";"Привет крошка";"5"
"Даша";"29";"Анонимный Дон";"Привет красивая анкета  актуальна ещё, и от метро далеко?";"5"
"Даша";"29";"Анонимный Дон";"Привет красавица! Хотел бы к тебе приехать. Очень всё прекрасно особенно тату. От метро далеко?";"5"
"Даша";"29";"Анонимный Дон";"Ты великолепная на фото. Хотелось бы в реале тебя увидеть. От метро далеко?";"5"
"Даша";"29";"Анонимный Дон";"Кто то был  у этой барышни? Реальна анкета?";"3"
"Марго Первая";"25";"Анонимный Дон";"Классная!";"5"
"😍Рина😍";"23";"Анонимный Дон";"Это просто восхитительно, страсть, сочность отдаётся на все 100%.<br />
Снимаю шляпу, запишусь к ней в кружок по сексу)))";"5"
